"Well","host_species","plate_no","Day_isolated","Isolate","exact_isolate","read_day","read_time","read_timeHours","ChlA_100","day_mean","day_sd","Outlier"
"A1","chlorella","1","Ctrl","MC","Plate_1_MC_A1","0",2019-11-08 15:01:59,0,1,1.86842105263158,0.528693066404059,FALSE
"B1","chlorella","1","Ctrl","MC","Plate_1_MC_B1","0",2019-11-08 15:01:59,0,2,1.86842105263158,0.528693066404059,FALSE
"C1","chlorella","1","Ctrl","MC","Plate_1_MC_C1","0",2019-11-08 15:01:59,0,2,1.86842105263158,0.528693066404059,FALSE
"D1","chlorella","1","Ctrl","MC","Plate_1_MC_D1","0",2019-11-08 15:01:59,0,2,1.86842105263158,0.528693066404059,FALSE
"E1","chlorella","1","Ctrl","MC","Plate_1_MC_E1","0",2019-11-08 15:01:59,0,1,1.86842105263158,0.528693066404059,FALSE
"F1","chlorella","1","Ctrl","MC","Plate_1_MC_F1","0",2019-11-08 15:01:59,0,2,1.86842105263158,0.528693066404059,FALSE
"G1","chlorella","1","Ctrl","MC","Plate_1_MC_G1","0",2019-11-08 15:01:59,0,2,1.86842105263158,0.528693066404059,FALSE
"H1","chlorella","1","Ctrl","MC","Plate_1_MC_H1","0",2019-11-08 15:01:59,0,2,1.86842105263158,0.528693066404059,FALSE
"A2","chlorella","1","Ctrl","MC","Plate_1_MC_A2","0",2019-11-08 15:01:59,0,1,1.86842105263158,0.528693066404059,FALSE
"B2","chlorella","1","D31","1DF","Plate_1_1DF_B2","0",2019-11-08 15:01:59,0,167,168.666666666667,3.78593889720018,FALSE
"C2","chlorella","1","D31","1DF","Plate_1_1DF_C2","0",2019-11-08 15:01:59,0,166,168.666666666667,3.78593889720018,FALSE
"D2","chlorella","1","D31","1DF","Plate_1_1DF_D2","0",2019-11-08 15:01:59,0,173,168.666666666667,3.78593889720018,FALSE
"E2","chlorella","1","D31","1,1DF","Plate_1_1,1DF_E2","0",2019-11-08 15:01:59,0,2,2.33333333333333,0.577350269189626,FALSE
"F2","chlorella","1","D31","1,1DF","Plate_1_1,1DF_F2","0",2019-11-08 15:01:59,0,2,2.33333333333333,0.577350269189626,FALSE
"G2","chlorella","1","D31","1,1DF","Plate_1_1,1DF_G2","0",2019-11-08 15:01:59,0,3,2.33333333333333,0.577350269189626,FALSE
"H2","chlorella","1","Ctrl","MC","Plate_1_MC_H2","0",2019-11-08 15:01:59,0,2,1.86842105263158,0.528693066404059,FALSE
"A3","chlorella","1","Ctrl","MC","Plate_1_MC_A3","0",2019-11-08 15:01:59,0,2,1.86842105263158,0.528693066404059,FALSE
"B3","chlorella","1","D31","2DF","Plate_1_2DF_B3","0",2019-11-08 15:01:59,0,2,2.33333333333333,0.577350269189626,FALSE
"C3","chlorella","1","D31","2DF","Plate_1_2DF_C3","0",2019-11-08 15:01:59,0,3,2.33333333333333,0.577350269189626,FALSE
"D3","chlorella","1","D31","2DF","Plate_1_2DF_D3","0",2019-11-08 15:01:59,0,2,2.33333333333333,0.577350269189626,FALSE
"E3","chlorella","1","D31","3DF","Plate_1_3DF_E3","0",2019-11-08 15:01:59,0,2,2.33333333333333,0.577350269189626,FALSE
"F3","chlorella","1","D31","3DF","Plate_1_3DF_F3","0",2019-11-08 15:01:59,0,2,2.33333333333333,0.577350269189626,FALSE
"G3","chlorella","1","D31","3DF","Plate_1_3DF_G3","0",2019-11-08 15:01:59,0,3,2.33333333333333,0.577350269189626,FALSE
"H3","chlorella","1","Ctrl","MC","Plate_1_MC_H3","0",2019-11-08 15:01:59,0,2,1.86842105263158,0.528693066404059,FALSE
"A4","chlorella","1","Ctrl","MC","Plate_1_MC_A4","0",2019-11-08 15:01:59,0,2,1.86842105263158,0.528693066404059,FALSE
"B4","chlorella","1","D31","4DF","Plate_1_4DF_B4","0",2019-11-08 15:01:59,0,3,2.33333333333333,0.577350269189626,FALSE
"C4","chlorella","1","D31","4DF","Plate_1_4DF_C4","0",2019-11-08 15:01:59,0,2,2.33333333333333,0.577350269189626,FALSE
"D4","chlorella","1","D31","4DF","Plate_1_4DF_D4","0",2019-11-08 15:01:59,0,2,2.33333333333333,0.577350269189626,FALSE
"E4","chlorella","1","D31","5DF","Plate_1_5DF_E4","0",2019-11-08 15:01:59,0,3,2.33333333333333,0.577350269189626,FALSE
"F4","chlorella","1","D31","5DF","Plate_1_5DF_F4","0",2019-11-08 15:01:59,0,2,2.33333333333333,0.577350269189626,FALSE
"G4","chlorella","1","D31","5DF","Plate_1_5DF_G4","0",2019-11-08 15:01:59,0,2,2.33333333333333,0.577350269189626,FALSE
"H4","chlorella","1","Ctrl","MC","Plate_1_MC_H4","0",2019-11-08 15:01:59,0,3,1.86842105263158,0.528693066404059,TRUE
"A5","chlorella","1","Ctrl","MC","Plate_1_MC_A5","0",2019-11-08 15:01:59,0,2,1.86842105263158,0.528693066404059,FALSE
"B5","chlorella","1","D31","6DF","Plate_1_6DF_B5","0",2019-11-08 15:01:59,0,3,2.66666666666667,0.577350269189626,FALSE
"C5","chlorella","1","D31","6DF","Plate_1_6DF_C5","0",2019-11-08 15:01:59,0,2,2.66666666666667,0.577350269189626,FALSE
"D5","chlorella","1","D31","6DF","Plate_1_6DF_D5","0",2019-11-08 15:01:59,0,3,2.66666666666667,0.577350269189626,FALSE
"E5","chlorella","1","D31","7DF","Plate_1_7DF_E5","0",2019-11-08 15:01:59,0,3,3,1,FALSE
"F5","chlorella","1","D31","7DF","Plate_1_7DF_F5","0",2019-11-08 15:01:59,0,2,3,1,FALSE
"G5","chlorella","1","D31","7DF","Plate_1_7DF_G5","0",2019-11-08 15:01:59,0,4,3,1,FALSE
"H5","chlorella","1","Ctrl","MC","Plate_1_MC_H5","0",2019-11-08 15:01:59,0,3,1.86842105263158,0.528693066404059,TRUE
